Version francaise,Traduction latin,Traduction Anglais
Achillée millefeuilles,Achillea millefolium,Yarrow
Amélanchier à Feuilles d'Aulne,Amelanchier alnifolia,Saskatoon Serviceberry
Amélanchier Arborescent,Amelanchier arborea,Downy Serviceberry
Amélanchier du Canada,Amelanchier canadensis,Canada Serviceberry
Amélanchier Glabre,Amelanchier laevis,Smooth Serviceberry
Ancolie du Canada,Aquilegia canadensis,Wild Columbine
Anémone du Canada,Anemone canadensis,Canada Anemone
Arbre aux quarante écus / Ginkgo Biloba,Ginkgo biloba,Maidenhair Tree
Argousier Faux-Nerprun,Hippopheae rhamnoides,Common Seabuckthorn
Arisème petit-prêcheur,Arisaema triphyllum,Jack In The Pulpit
Aronie Noire,Aronia melanocarpa,Black Chokeberry
Asclépiade commune,Asclepias syriaca,Common Milkweed
Asclépiade incarnate,Asclepias incarnata,Swamp Milkweed
Asclépiade tubéreuse,Asclepias tuberosa,Butterfly Weed
Aster à grandes feuilles,Eurybia macrophylla,Big-leaved Aster
Aster de la Nouvelle-Angleterre,Symphyotrichum novae-angliae,New England Aster
Aubépine ergot-de-coq,Crataegus crus-galli,Cockspur Hawthorn
Aulne Crispé,Alnus crispea,Green Alder
Aulne Rugueux,Alnus rugosa,Speckled Alder
Bleuet à feuilles étroites (bleuet sauvage),Vaccinium angustifolium,Lowbush Blueberry
Bleuet en corymbe,Vaccinium corymbusum,Highbush Blueberry
Bois Bouton,Cephalanthus occidentalis,Buttonbush
Bouleau à Papier,Betula papyrifera,Paper Birch
Bouleau Gris,Betula populifolia,Gray Birch
Bouleau Jaune,Betula allghaniensis,Yellow Birch
Caryer cordiforme,Carya cordiformis,Bitternut Hickory
Caryer ovale,Carya ovata,Shagbark Hickory
Catalpa de l'Ouest,Catalpa speciosa,Northern Catalpa
Cèdre blanc,Thuja occidentalis,Eastern White Cedar
Cèdre Brandon,Thuja occidentalis ''brandon'',Brandon Cedar
Cèdre noir,Thuja occidentalis ''nigra'',Black Cedar
Cèdre Smaragd,Thuja occidentalis ''smaragh'',Emerald Cedar
Cerisier de Pennsylvanie,Prunus pensylvanica,Pin Cherry
Cerisier de Virginie,Prunus virginiana,Chokecherry
Cerisier tardif,Prunus serotina,Black Cherry
Cerisier tomenteux,Prunus tomentosa,Nanking Cherry
Chalef argenté,Elaeagnus commutata,Silverberry
Charme de Caroline,Carpinus caroliniana,Blue Beech
Chêne à gros fruits,Quercus macrocarpa,Bur Oak
Chêne bicolore,Quercus bicolor,Swamp White Oak
Chêne blanc,Quercus alba,White Oak
Chêne des marais,Quercus pallustris,Pin Oak
Chêne noir,Quercus velutina,Black Oak
Chêne pédonculté,Quercus robur,English Oak
Chêne rouge,Quercus rubra,Red Oak
Chèvrefeuille du Canada,Lonicera candensis,Fly Honeysuckle
Chicot du Canada,Gymnocladus dioicus,Kentucky Coffee Tree
Clématite de Virginie,Clematis virginiana,Virgin's Bower
Cornouiller 4 temps,Cornus canadensis,Bunchberry
Cornouiller à Feuilles Alternes,Cornus alternifolia,Alternate-leaf Dogwood
Cornouiller à grappes,Cornus racemosa,Gray Dogwood
Cornouiller du Canada,,
Cornouiller Stolonifère,Cornus sericea,Red-osier Dogwood
Cotonéaster de Pékin,Cotoneaster acutifolia,Peking Cotoneaster
Desmodie du Canada,Desmodium canadense,Showy Tick Trefoil
Dierville Chèvrefeuille,Diervilla lonicera,Bush Honeysuckle
